,flame,human,point,x,y
0,126,1,17,928,200
0,128,1,0,882,206
0,128,1,1,938,270
0,128,1,2,892,290
0,128,1,3,860,358
0,128,1,4,824,424
0,128,1,5,982,246
0,128,1,6,1048,294
0,128,1,7,1012,354
0,128,1,8,968,426
0,128,1,9,976,540
0,128,1,10,990,644
0,128,1,11,1028,406
0,128,1,12,1064,550
0,128,1,13,1080,648
0,128,1,14,884,198
0,128,1,15,894,196
0,128,1,17,928,200
0,130,1,0,886,200
0,130,1,1,938,266
0,130,1,2,892,286
0,130,1,3,850,348
0,130,1,4,806,408
0,130,1,5,982,244
0,130,1,6,1048,292
0,130,1,7,1014,348
0,130,1,8,968,424
0,130,1,9,978,536
0,130,1,10,990,642
0,130,1,11,1028,404
0,130,1,12,1062,524
0,130,1,13,1090,648
0,130,1,14,884,194
0,130,1,15,898,192
0,130,1,17,932,196
0,132,1,0,888,198
0,132,1,1,940,264
0,132,1,2,892,284
0,132,1,3,842,338
0,132,1,4,792,394
0,132,1,5,984,244
0,132,1,6,1048,292
0,132,1,7,1014,346
0,132,1,8,968,426
0,132,1,9,978,538
0,132,1,10,990,642
0,132,1,11,1028,406
0,132,1,12,1064,524
0,132,1,13,1100,652
0,132,1,14,888,192
0,132,1,15,898,188
0,132,1,17,936,196
0,134,1,0,892,198
0,134,1,1,938,264
0,134,1,2,892,284
0,134,1,3,836,332
0,134,1,4,778,380
0,134,1,5,984,244
0,134,1,6,1046,292
0,134,1,7,1016,346
0,134,1,8,970,428
0,134,1,9,980,538
0,134,1,10,990,644
0,134,1,11,1030,406
0,134,1,12,1066,520
0,134,1,14,890,190
0,134,1,15,904,188
0,134,1,17,938,196
0,136,1,0,896,196
0,136,1,1,940,264
0,136,1,2,892,284
0,136,1,3,832,324
0,136,1,4,770,368
0,136,1,5,986,244
0,136,1,6,1046,292
0,136,1,7,1016,346
0,136,1,8,968,426
0,136,1,9,980,540
0,136,1,10,990,646
0,136,1,11,1030,406
0,136,1,12,1068,526
0,136,1,14,892,190
0,136,1,15,908,188
0,136,1,17,942,198
0,138,1,0,900,196
0,138,1,1,940,264
0,138,1,2,890,282
0,138,1,3,828,316
0,138,1,4,762,352
0,138,1,5,986,244
